ABCC3	0	0	2	0	0	0	2	0	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	2	2	2	2	2	2	0	2	0	0	2	2	0	2	2	2	2	0	0	0	2	0	0	0	2	0	2	0	0	2	2	0	0	2	0	0	0	2	2	0	0	0	2	2	0	0	0	0	2	2	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	2	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	2	2	2	0	2	0	0	2	2	0	2	0	0	0	2	2	2	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	2	0	2	2	2	2	2	0	0	0	0	2	0	0	0	2	0	0	0	2	0	0	2	0	2	2	0	2	0	0	0	0	2	0	2	0	2	0	0	0	2	2	0	2	0	2	0	0	0	0	0	0	0	2	2	2	0	0	0	2	2	2	0	0	0	0	2	2	2	0	2	0	0	0	0	2	0	0	0	2	0	2	2	2	2	0	2	0	0	0	0	0	0	2	2	2	0	0	2	0	0	2	2	2	2	0	0	0	0	0	0	2	2	2	0	0	2	0	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ABCG1	1	1	0	0	0	2	2	0	0	0	2	0	0	2	2	0	2	2	0	2	1	2	0	1	2	2	0	2	2	2	0	2	2	1	2	2	0	2	2	2	1	2	2	2	1	2	2	1	1	0	1	1	1	2	2	2	0	1	1	2	2	1	0	1	1	2	2	1	2	0	1	1	2	2	0	1	2	1	1	2	1	2	1	0	0	2	1	2	1	0	2	1	0	1	1	0	2	2	2	2	1	1	0	2	2	2	2	0	0	1	0	2	1	1	1	0	2	1	2	2	1	2	2	2	2	2	2	0	1	2	1	2	0	2	2	2	0	1	2	2	0	2	1	2	2	1	1	2	2	1	2	1	1	1	2	2	2	2	2	1	2	2	2	2	2	2	1	2	1	0	2	2	1	2	2	2	2	0	0	1	0	1	2	1	0	1	1	1	2	2	2	1	2	2	2	1	2	1	0	1	2	2	1	0	1	2	2	1	0	2	1	2	1	0	0	2	0	0	1	2	2	0	1	0	0	2	0	0	0	1	2	0	1	1	1	2	0	1	0	2	2	2	0	2	2	0	0	0	2	2	1	1	1	1	0	2	0	2	2	1	2	0	1	2	2	0	1	2	2	0	2	1	2	0	2	0	2	0	2	2	0	0	0	2	2	0	1	0	2	2	1	2	2	1	0	2	2	0	0	2	0	2	2
ABHD2	0	1	2	0	1	0	0	0	2	0	1	1	0	1	0	0	0	0	2	0	0	2	2	0	0	0	1	1	0	0	0	0	0	2	2	2	1	2	2	0	2	0	0	1	0	0	0	0	2	0	2	2	2	1	0	2	1	0	2	1	0	0	1	1	1	1	2	0	0	1	2	2	0	0	0	1	1	2	2	1	2	0	1	2	0	0	0	0	0	0	0	0	1	2	0	1	1	2	2	1	2	1	0	0	2	2	0	0	1	2	0	1	2	2	2	2	2	2	2	1	1	2	0	0	0	0	0	2	2	1	2	0	1	0	0	0	0	2	2	0	2	1	0	0	2	2	2	1	2	2	1	2	2	0	0	0	0	2	1	2	0	0	2	1	0	0	2	0	2	0	2	0	2	0	1	1	0	0	0	2	0	0	1	2	1	2	0	2	2	2	1	1	0	1	0	2	0	2	1	2	1	0	2	0	2	2	0	0	0	2	0	2	0	2	2	0	2	1	2	0	1	0	2	1	1	0	1	1	1	0	0	0	2	0	2	1	1	2	2	1	0	1	1	0	2	2	1	2	0	0	2	0	2	2	2	2	0	2	2	2	1	0	2	2	1	2	2	2	2	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	2	1	1	0	2	0	0	2	1	0	0	0	0	2	1	0	1
ACPP	2	1	1	1	2	1	1	1	2	0	1	0	1	2	1	1	2	0	1	1	2	0	1	1	1	1	1	2	1	2	1	1	1	0	0	1	1	1	0	2	0	2	2	1	1	1	1	2	0	1	1	1	0	2	1	0	2	1	2	2	0	2	1	2	2	2	0	1	1	1	1	0	1	2	1	1	1	1	0	2	1	2	2	1	1	1	1	1	2	1	2	2	2	1	2	0	2	0	1	2	0	2	0	1	0	1	1	1	2	1	0	1	1	1	2	0	1	1	0	2	1	1	2	2	2	2	0	1	1	2	1	1	2	2	2	1	0	0	0	1	2	1	2	0	1	1	1	1	0	1	2	1	0	1	2	1	2	0	1	0	1	1	0	2	1	1	0	2	1	0	0	1	1	2	1	2	2	1	1	1	2	1	2	1	1	0	0	2	1	0	2	2	2	1	1	1	2	1	2	0	1	1	1	1	1	2	1	1	2	1	0	1	2	0	0	1	1	2	0	2	2	1	0	2	1	1	2	1	2	2	1	0	0	1	0	1	2	1	1	2	0	1	2	1	0	0	1	0	2	1	0	1	0	0	1	0	0	0	0	1	2	1	2	0	0	1	1	0	1	2	1	1	2	0	1	2	2	1	1	2	0	1	0	2	2	1	0	1	1	0	2	1	1	1	1	1	0	0	0	2	2	1	0
ADAM28	0	0	1	0	0	1	1	1	2	0	2	0	1	2	1	1	2	1	0	2	2	1	0	2	2	2	0	0	2	2	0	0	0	0	1	0	1	2	1	1	1	1	0	1	1	1	1	1	0	0	2	1	0	1	0	0	0	1	0	2	1	1	1	0	2	1	2	2	2	0	0	1	1	1	1	1	2	2	2	0	1	1	1	1	0	2	1	1	1	2	0	1	1	0	1	0	2	0	2	1	2	1	2	0	0	0	1	0	1	1	1	0	1	1	2	0	0	0	0	0	0	1	2	1	0	0	0	0	1	1	0	0	1	2	1	1	1	0	0	0	1	1	0	2	1	0	2	0	0	1	1	0	1	1	1	1	1	0	0	0	0	1	0	0	1	0	0	1	1	2	1	0	0	1	1	2	1	2	1	1	1	1	1	1	0	0	0	2	0	0	1	1	1	1	0	1	1	1	0	0	2	1	0	0	1	0	1	1	2	1	2	0	1	1	0	1	0	0	1	1	0	0	1	2	1	1	1	1	1	2	2	2	0	1	1	2	0	0	0	0	1	0	0	1	2	0	0	0	1	1	0	1	2	0	2	0	1	0	0	2	0	0	0	0	2	0	0	1	0	0	0	2	0	1	1	2	0	0	1	1	2	0	0	2	2	2	0	2	0	1	1	1	2	0	1	1	0	2	2	1	1	0	1
ADAMDEC1	2	1	1	2	1	1	1	1	1	2	0	2	1	0	1	1	1	1	2	0	2	2	0	1	2	1	1	1	2	0	0	2	1	0	2	1	2	2	0	0	2	1	1	1	2	1	0	1	1	0	2	2	1	1	1	0	0	2	0	0	1	2	1	1	0	1	1	1	0	2	0	1	1	0	2	2	1	2	2	0	0	0	0	1	0	0	1	2	2	0	0	2	1	1	1	1	1	2	1	2	2	1	0	0	1	1	1	0	2	2	1	0	1	1	1	0	1	2	2	0	2	2	2	1	1	1	0	2	2	1	0	1	0	2	0	2	2	1	0	0	1	0	1	2	2	0	2	0	2	2	1	0	1	1	1	1	2	1	1	1	1	1	2	0	2	2	0	1	0	2	0	2	0	0	1	2	1	1	1	1	1	0	0	1	1	2	2	1	1	0	1	2	0	1	0	1	2	1	1	1	1	1	0	1	0	0	2	1	2	1	2	1	0	0	1	1	0	0	0	0	0	0	2	2	1	0	0	2	1	0	2	1	2	2	1	1	0	1	0	2	2	0	0	2	1	1	0	1	0	1	2	0	1	1	1	1	0	1	0	1	1	1	1	2	1	1	1	1	2	0	1	2	0	1	1	0	0	0	0	1	2	2	1	0	0	2	1	1	0	2	1	1	0	2	0	1	1	0	2	1	1	0	1
ADCY7	0	0	1	0	2	2	2	1	2	1	2	0	2	2	2	2	1	2	1	2	2	1	1	0	2	2	2	2	0	1	1	2	0	2	1	1	1	1	1	2	2	1	0	0	2	2	1	2	2	2	2	2	2	2	0	1	2	2	2	2	1	2	2	0	2	1	2	0	2	0	1	1	2	2	2	2	0	1	1	0	2	1	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2	2	0	2	2	0	2	2	1	1	1	1	2	2	1	0	1	2	0	1	2	2	1	2	2	0	0	2	2	2	2	0	1	0	1	2	2	1	0	2	2	1	2	1	0	2	2	1	0	1	2	0	2	1	2	2	1	2	2	2	2	2	2	0	0	2	0	2	2	1	1	1	2	2	1	1	1	2	2	1	1	2	1	2	2	0	2	2	1	0	2	1	0	2	1	1	2	1	2	0	1	1	2	2	2	1	2	2	2	2	2	2	1	2	2	0	2	1	2	1	2	2	1	2	0	2	2	0	2	1	2	0	0	0	0	2	1	2	0	1	2	2	2	0	1	1	2	0	2	2	2	2	1	0	2	1	1	2	2	2	1	2	2	0	1	2	1	2	2	2	1	2	1	2	0	2	2	1	1	0	1	0	0	2	1	0	1	1	2	0	1	0	2	1	2	2	2	1	2	2	1	1	2	2
ADORA2B	2	1	0	0	0	0	0	0	2	1	0	0	2	0	0	0	2	1	0	0	2	1	1	0	1	0	1	2	1	2	2	0	2	1	1	1	0	0	2	0	1	2	0	0	2	0	0	2	1	1	1	2	0	2	0	0	2	1	2	0	0	1	1	2	2	1	0	0	2	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	2	1	2	2	1	0	0	1	0	1	2	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0	0	1	2	0	1	2	2	1	0	1	1	2	1	0	0	0	1	1	0	2	0	1	2	1	0	2	0	1	2	1	0	0	2	0	1	2	1	0	0	1	0	0	0	2	0	1	1	0	0	0	1	0	1	2	0	0	0	0	0	1	1	0	1	0	0	0	1	0	2	1	1	0	0	0	0	0	2	1	2	0	2	1	0	0	0	2	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	1	1	0	2	0	2	0	0	0	0	1	1	0	0	1	0	0	0	2	1	1	0	0	2	0	1	0	2	0	0	2	1	2	1	1	1	0	0	1	0	1	2	1	0	1	0	1	1	0	2	0	0	1	0	2	0	1	2	2	0	2	1	0	2	0	0	1	0	0	0	0	2	0	1	0	0	1	1	0	1	2	0
ADORA3	1	2	0	1	2	2	1	2	2	1	0	0	2	0	2	2	0	2	1	0	2	1	1	1	2	0	0	2	0	0	2	2	1	2	0	2	1	2	1	2	1	2	0	2	2	2	2	0	2	0	2	1	2	2	1	2	2	1	2	0	2	1	2	1	1	2	1	1	0	0	2	1	2	2	2	0	1	2	1	0	2	0	0	2	1	0	2	0	1	1	0	1	2	1	1	2	2	2	0	2	2	2	0	1	0	2	2	2	1	1	0	1	1	1	2	2	1	1	1	2	0	1	1	1	2	2	0	1	2	2	1	2	0	2	0	0	2	1	1	2	0	2	1	0	1	2	2	2	2	1	2	2	2	0	2	2	2	1	2	2	2	2	1	2	2	2	1	2	1	1	1	1	2	2	2	0	1	0	2	1	2	0	2	1	0	2	2	1	1	2	0	1	0	0	2	1	1	2	1	0	0	2	2	1	2	1	1	2	2	1	1	1	1	1	2	2	2	0	2	2	2	1	1	2	1	2	0	1	2	0	2	0	1	1	1	0	0	2	0	1	0	2	0	1	2	1	2	1	0	0	1	2	2	1	0	1	0	2	1	2	2	1	2	2	1	2	1	2	1	2	2	0	0	1	2	2	2	2	0	2	0	1	1	2	0	2	2	0	2	2	2	2	0	1	0	2	0	0	2	0	2	1	0
AIF1	0	2	2	2	1	0	0	0	0	0	1	2	0	1	0	0	1	2	0	0	0	2	1	1	0	1	1	1	0	1	0	2	2	0	0	1	1	1	0	0	2	1	0	0	2	0	1	1	0	0	2	2	2	0	2	1	0	2	1	1	0	0	2	1	0	1	2	2	2	2	2	0	0	0	0	2	1	1	2	1	0	1	1	0	2	0	0	1	2	2	0	0	0	2	1	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	1	0	2	1	0	0	2	1	0	0	0	0	1	1	2	1	2	0	0	1	0	1	0	1	1	0	2	0	2	0	0	2	1	1	0	2	1	1	2	0	2	0	0	1	0	0	0	2	0	0	0	0	2	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	2	2	0	2	2	1	0	1	1	0	2	0	0	0	0	1	0	1	0	1	1	0	2	1	0	0	1	1	0	0	0	1	0	0	0	0	0	2	1	0	2	0	0	0	1	1	2	2	0	0	1	1	2	0	0	0	2	1	2	1	2	1	2	0	0	2	1	2	0	2	2	0	2	1	1	0	0	2	2	0	0	2	2	0	0	2	0	1	2	0	1	0	0	0	1	2	0	2	0	0	0	2	0	1	0	0	0	1	0	0	0	2	1	0	0	0	0	2
