ABCC3	0	2	0	2	2	2	0	0	2	2	2	2	2	0	2	0	2	2	2	2	0	2	0	0	2	2	0	2	2	2	2	2	2	0	0	2	2	2	0	2	2	2	2	2	2	0	0	2	2	2	0	2	2	2	0	0	2	2	0	2	2	2	2	0	2	2	2	2	2	2	0	2	0	0	2	0	2	2	0	2	2	2	2	2	2	2	2	2	0	2	0	0	0	0	2	0	0	0	2	0	2	0	2	2	0	0	2	2	0	0	0	2	0	0	2	2	2	2	2	0	0	2	2	0	0	2	0	2	2	0	2	2	0	2	2	0	2	0	2	2	2	0	2	0	0	0	2	2	0	2	0	0	2	2	0	2	0	2	2	0	2	2	0	0	2	2	2	2	0	2	2	2	2	0	0	0	0	2	2	0	0	2	0	0	0	2	0	2	0
ABCG1	2	1	1	0	0	2	2	0	0	2	1	1	1	1	0	0	2	0	1	1	1	2	1	1	0	1	2	1	1	0	1	1	0	0	0	0	1	2	1	1	1	0	2	0	0	1	0	0	0	1	0	2	1	1	0	0	1	2	1	1	2	1	0	0	1	2	0	1	0	1	1	0	1	1	1	1	2	2	1	0	0	0	0	0	0	0	1	1	1	1	1	2	1	2	1	0	1	0	1	1	0	1	1	1	0	1	0	0	1	0	2	0	0	1	0	1	0	1	0	1	1	0	0	0	2	1	1	1	1	0	0	1	2	1	1	1	2	0	0	1	1	2	1	1	1	0	0	0	1	0	1	1	1	2	1	1	1	1	0	1	1	2	1	1	1	1	1	1	2	0	1	1	0	1	2	1	1	1	1	1	0	1	1	0	2	1	0	1	0
ABHD2	0	2	1	1	2	1	1	2	1	0	1	1	0	1	2	2	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	2	2	2	2	2	1	0	2	2	1	2	0	2	0	1	2	2	1	1	2	1	1	1	1	2	1	1	1	1	0	1	1	2	1	2	2	2	2	1	1	2	1	0	2	1	1	2	1	0	1	2	2	1	2	1	0	2	1	1	1	2	0	0	0	2	1	1	2	1	2	2	0	2	2	1	2	0	1	2	1	1	2	0	1	0	2	1	1	2	2	1	0	2	1	1	1	2	1	2	2	1	0	1	1	0	1	1	2	2	2	2	2	0	2	1	1	2	1	2	1	2	0	2	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	0	0	1	1	1	1	2	1	2	1	2	0	1	1	2	2
ACPP	2	2	2	1	0	2	2	2	1	2	2	2	2	2	0	0	1	2	2	2	2	1	2	0	1	2	0	2	1	2	0	2	2	2	2	2	2	1	0	2	2	0	1	2	1	2	2	0	1	2	1	0	2	2	2	2	0	2	2	2	1	2	2	0	0	0	0	0	1	0	2	2	1	1	2	2	0	0	2	1	1	0	0	1	2	1	2	0	2	2	0	0	1	2	2	2	1	1	0	1	0	0	1	2	2	1	2	1	2	0	0	0	0	1	2	1	2	2	0	0	2	2	2	0	1	2	2	2	2	0	2	1	1	2	2	2	0	2	2	2	0	0	2	1	2	2	2	2	2	1	1	0	1	0	2	2	2	2	2	2	1	2	1	2	2	2	2	2	0	2	1	2	1	1	2	1	1	2	1	2	2	2	2	1	1	1	2	2	2
ADAM28	0	2	2	2	0	0	2	0	1	2	2	1	1	2	0	1	2	2	2	0	1	2	2	2	0	1	2	2	2	2	2	0	2	1	2	1	2	2	2	1	2	1	2	2	1	2	1	1	2	2	1	2	0	2	1	2	0	0	1	2	0	0	1	2	2	2	0	0	2	1	2	2	2	1	0	2	1	2	1	0	2	2	0	1	1	2	1	1	2	2	1	0	0	1	0	2	1	1	2	2	1	2	1	0	1	0	1	2	0	1	1	2	0	1	2	2	2	2	2	0	1	2	1	2	2	0	2	2	2	2	2	1	2	2	2	2	2	1	2	2	1	0	1	0	1	1	0	2	0	0	1	2	2	0	0	1	2	0	0	0	1	1	1	2	2	0	2	1	1	1	0	1	1	0	0	1	2	0	0	1	2	0	2	1	1	1	1	1	1
ADAMDEC1	0	1	0	2	1	0	1	1	1	2	2	1	2	2	1	1	0	0	2	0	2	2	1	2	1	2	1	1	2	1	1	1	1	2	2	2	2	1	2	2	0	1	2	2	1	1	1	1	2	2	2	1	2	0	2	0	2	0	1	1	2	0	1	2	1	0	2	0	0	1	1	1	1	0	2	2	0	2	1	2	0	2	2	0	2	2	2	1	2	2	2	2	0	2	0	2	1	0	2	2	2	1	0	2	1	2	2	1	0	1	1	2	2	2	0	0	1	2	1	1	1	2	1	1	0	0	2	2	2	1	2	2	1	0	2	2	1	2	0	2	1	2	1	0	1	2	2	1	1	2	1	0	2	2	2	0	2	2	1	1	0	1	1	2	2	0	2	2	2	2	2	0	2	0	1	0	0	0	2	1	1	2	0	2	0	2	1	2	0
ADCY7	0	2	2	0	2	1	1	0	1	1	2	1	2	1	0	1	0	2	1	1	1	2	2	0	0	2	2	1	1	1	1	1	1	1	1	0	1	2	1	1	1	1	1	0	2	1	1	1	1	1	1	0	0	2	0	1	2	2	1	2	0	2	1	2	1	1	1	1	2	1	1	2	1	1	2	0	1	0	1	1	0	1	0	1	2	1	1	2	1	1	1	1	0	1	1	1	0	1	2	1	2	2	1	1	2	1	1	1	1	2	2	1	1	1	1	0	1	1	1	1	1	1	0	1	2	1	1	2	2	1	1	1	1	1	1	1	2	0	1	1	0	2	2	2	1	1	0	1	0	1	1	1	0	0	1	1	2	1	1	0	1	2	0	1	1	1	2	2	0	0	0	2	1	0	0	2	0	1	1	2	1	0	2	2	0	2	0	1	2
ADORA2B	0	1	1	2	0	0	1	2	2	0	1	0	1	2	0	2	1	2	1	2	1	1	1	1	2	0	0	0	1	2	0	0	2	2	2	1	1	1	0	1	2	0	1	1	1	1	0	0	2	1	1	1	1	0	1	2	1	0	1	0	1	1	1	1	1	1	2	0	1	0	1	1	1	1	1	1	0	0	1	1	2	0	1	1	0	0	1	0	1	1	1	1	1	2	0	1	1	1	0	1	1	1	1	1	0	2	1	2	1	2	0	0	1	1	1	1	1	0	1	1	1	1	1	1	2	1	1	1	0	1	1	2	2	0	0	0	0	1	1	1	1	1	1	1	1	2	0	1	0	1	1	1	1	0	0	1	0	2	0	2	1	1	1	1	0	1	1	2	0	1	2	1	2	1	1	2	1	2	0	1	1	0	1	0	1	1	1	2	1
ADORA3	2	0	1	2	2	0	2	0	2	1	2	2	2	2	0	0	1	2	2	0	2	2	2	2	0	1	0	1	2	2	1	0	0	0	0	2	2	0	2	2	1	0	2	2	2	2	2	2	0	0	0	2	0	0	1	2	1	2	0	0	0	2	2	2	2	0	0	2	1	2	0	0	2	1	0	1	1	0	1	2	2	2	0	1	2	0	1	1	1	2	0	0	2	0	2	0	0	1	2	2	0	0	1	2	2	2	1	1	1	2	0	2	2	2	1	1	0	2	2	2	2	2	0	2	2	0	2	2	1	0	2	0	1	2	2	2	0	0	2	0	1	2	2	2	0	1	2	0	2	0	2	0	2	2	0	1	2	2	0	0	1	2	2	2	1	2	1	1	1	0	2	2	1	1	1	1	2	0	1	2	2	0	2	2	1	1	0	2	0
AIF1	2	1	2	2	1	1	0	2	0	1	0	1	2	2	1	0	0	2	0	0	0	0	0	0	0	2	0	2	0	1	0	0	1	0	1	0	0	0	1	1	2	0	2	1	0	0	1	0	2	2	2	1	1	0	2	2	1	2	2	0	0	0	1	0	0	0	0	1	0	0	1	1	0	2	2	0	2	1	2	0	2	0	0	2	2	2	0	0	0	0	0	1	0	0	1	1	0	2	1	2	0	0	2	1	2	2	0	0	1	0	0	1	0	0	0	2	0	1	1	0	2	0	0	1	2	0	0	0	0	1	2	2	2	0	1	0	0	2	0	1	0	0	0	0	0	0	1	1	0	2	2	0	1	0	0	0	2	1	0	0	2	0	2	0	0	0	2	2	1	1	2	0	2	2	1	2	0	0	0	2	1	1	2	0	0	2	0	0	0
