ABCC3	2	2	1	2	1	1	1	1	1	1	0	0	1	1	1	0	2	2	1	1	0	1	1	1	1	2	0	1	0	2	0	1	2	1	1	0	1	1	2	1	1	2	2	1	2	1	1	2	1	2	1	1	2	1	2	1	1	2	1	1	1	1	1	2	2	1	1	2	2	1	1	1	1	1	2	0	2	1	1	0	1	0	1	2	1	2	1	2	1	2	1	1	1	2	2	1	0	1	1	2	0	1	1	1	1	2	1	0	1	0	0	1	2	2	1	1	2	1	1	0	0	2	1	2	1	1	1	2	2	2	2	1	1	1	2	2	1	1	1	1	2	1	0	1	1	2	1	2	1	2	0	1	1	1	1	1	2	1	2	2	0	1	2	2	2	1	2	1	2	1	0	1	1	1	1	1	1	1	2	1	2	2	2	1	1	2	1	1	1
ABCG1	2	2	0	0	1	2	2	2	0	0	1	2	0	1	2	1	2	2	1	2	1	2	2	0	0	1	0	0	2	1	1	0	2	1	1	0	0	1	0	2	1	2	0	0	1	1	0	2	0	0	0	0	2	2	0	2	2	0	2	0	0	2	1	0	1	1	2	0	2	2	0	2	2	0	2	1	2	0	2	0	0	0	2	2	2	2	0	2	0	0	0	1	1	0	0	2	1	0	2	0	2	0	1	0	0	1	0	2	0	2	0	1	0	1	2	2	2	2	0	0	1	2	0	2	0	0	0	0	0	0	2	2	0	2	2	0	0	0	0	0	0	2	1	1	0	0	0	0	0	1	1	1	0	2	0	2	0	1	2	0	1	0	2	0	1	2	2	0	1	1	1	0	0	0	1	2	2	0	0	1	1	0	0	0	2	0	2	0	0
ABHD2	1	1	1	0	2	1	1	1	2	1	0	1	2	2	1	1	1	0	0	1	0	0	1	2	1	0	0	1	1	2	2	0	1	0	0	2	0	2	2	0	2	1	2	0	0	0	1	1	0	1	0	0	0	1	0	1	1	2	1	0	0	1	2	0	1	1	1	2	1	0	0	1	1	2	0	1	1	0	2	1	0	2	1	0	1	0	2	1	0	1	2	0	0	2	1	1	1	1	1	0	1	0	0	0	0	0	2	1	1	1	2	1	2	0	0	1	1	1	0	2	0	1	0	1	0	0	0	2	1	0	1	0	0	1	0	0	1	0	0	0	0	1	2	1	0	1	1	0	0	0	0	0	0	0	0	1	0	2	1	0	2	0	0	1	2	1	0	0	2	0	0	2	0	2	2	1	1	0	2	0	2	0	1	1	0	1	1	0	1
ACPP	0	0	0	2	1	2	2	2	2	0	0	1	0	0	2	0	0	0	1	2	2	0	0	0	0	0	0	0	2	0	0	0	2	0	2	1	0	2	0	1	0	0	0	1	2	0	0	0	0	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	2	2	0	1	0	1	0	0	2	0	0	0	2	0	1	2	0	0	1	0	2	0	1	0	0	0	1	0	2	0	2	2	2	0	0	0	2	0	2	1	2	2	0	0	0	2	0	0	0	0	0	2	2	2	0	1	2	0	0	2	0	1	0	1	0	0	0	1	0	1	0	2	2	0	0	2	0	2	0	0	0	2	0	0	2	0	2	0	0	0	0	0	2	0	2	0	1	0	2	0	2	2	0	0	0	2	2	0	1	1	1	0	2	0	1	2	1	2	2	2	0	2	2	0	2
ADAM28	1	2	2	1	1	0	2	0	1	0	0	2	0	0	0	0	2	1	1	2	2	2	1	0	0	2	1	0	1	1	0	0	0	0	2	2	0	0	1	1	2	1	2	0	1	1	2	0	1	1	1	1	1	0	1	1	1	0	2	2	1	2	1	1	1	0	0	1	1	2	2	2	0	2	2	1	0	2	0	1	1	1	0	0	1	2	1	0	1	1	2	1	1	2	0	1	0	1	1	0	1	1	2	1	1	0	2	1	1	0	1	2	1	2	0	0	2	1	1	1	0	1	1	0	2	0	1	0	1	1	0	2	1	2	0	0	0	1	2	1	0	2	1	0	1	0	0	2	0	2	1	1	1	2	0	2	0	2	1	1	0	1	1	0	1	1	2	1	0	2	2	2	1	2	0	0	1	0	0	2	0	1	2	1	1	1	0	1	0
ADAMDEC1	2	1	1	1	0	1	2	0	2	1	1	2	2	0	2	0	2	0	2	2	0	2	1	0	2	2	1	2	2	2	0	1	0	2	1	0	1	1	2	2	0	2	2	2	1	2	1	2	2	0	2	2	1	1	0	1	2	0	1	1	2	2	1	0	0	2	2	2	1	1	0	2	1	1	2	2	2	2	2	2	1	1	2	2	1	1	1	0	0	0	0	2	1	2	2	2	2	1	1	2	1	2	0	2	2	0	2	0	2	2	0	2	2	2	1	1	2	2	2	2	1	0	0	1	0	2	2	2	1	1	0	0	2	2	1	2	0	2	1	1	2	1	2	2	2	2	2	0	0	2	2	1	2	2	0	2	2	2	2	0	0	2	0	2	1	1	1	2	2	1	2	2	1	2	2	0	2	2	2	1	2	1	1	2	2	1	0	2	1
ADCY7	1	1	0	0	2	0	0	0	0	0	2	0	2	1	0	1	1	1	2	0	0	0	0	1	1	1	0	1	1	0	0	1	0	0	2	0	0	2	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	2	0	1	0	2	1	0	0	1	1	0	0	2	0	0	0	0	1	0	2	2	2	1	0	1	2	0	1	0	2	2	0	0	2	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	2	1	0	1	0	0	0	1	2	0	0	0	2	1	0	0	1	2	0	2	0	2	0	0	1	2	0	0	1	1	1	0	0	0	2	0	2	0	0	1	0	0	2	0	0	0	1	0	0	2	0	2	1	0	0	0	2	0	2	0	2	0	1	0	0	1	2	2	0	2	2	2	1	2	0	2	0	0	2	1	0	1	2	0	0
ADORA2B	1	0	1	1	1	2	1	2	1	2	0	0	1	1	1	1	2	0	0	1	1	0	2	1	2	2	1	1	0	1	1	2	0	2	1	1	2	1	1	0	0	1	2	2	2	0	1	1	1	0	2	2	0	0	1	1	1	1	1	1	0	2	1	0	1	2	1	2	0	0	1	1	2	1	1	1	2	0	0	2	2	1	0	2	2	1	1	1	1	2	1	1	1	2	2	1	1	0	0	1	2	1	2	0	1	2	1	0	1	1	0	2	1	1	1	1	2	1	1	2	2	0	2	2	0	0	1	1	1	2	0	0	2	2	2	1	2	1	2	2	0	2	0	2	1	1	2	1	2	1	1	2	1	1	0	1	1	2	1	1	1	1	0	1	1	2	1	1	1	1	2	1	1	1	1	2	1	2	1	2	1	1	1	1	1	2	1	1	1
ADORA3	0	0	1	0	2	1	1	0	1	0	0	0	1	1	1	1	0	1	1	1	2	2	0	0	1	1	0	0	1	1	2	1	1	2	2	2	0	2	2	0	2	2	2	2	1	2	1	1	1	0	0	1	1	0	2	0	0	2	1	0	1	1	0	2	0	1	0	2	0	1	1	2	0	0	0	2	1	2	0	1	0	1	1	1	0	1	0	1	2	0	2	1	1	2	0	0	0	0	1	1	0	0	2	1	0	1	1	1	1	1	1	2	1	1	0	0	0	1	1	1	0	0	1	0	2	1	1	1	0	1	1	0	2	1	0	1	1	0	2	2	1	0	0	1	1	0	0	2	2	2	2	1	1	0	0	1	2	2	0	2	2	1	0	0	1	0	2	1	1	1	2	2	1	1	0	1	0	1	1	1	1	1	2	1	1	0	1	1	1
AIF1	2	1	1	2	2	0	2	0	0	2	2	1	2	2	0	2	2	1	2	2	2	2	0	2	1	1	0	1	2	2	2	1	2	1	0	1	2	0	1	1	1	2	2	2	0	2	1	1	2	2	1	1	0	1	1	2	0	1	1	1	1	1	2	1	2	2	0	2	0	2	2	1	0	1	0	0	2	1	1	0	2	2	0	0	0	0	2	1	1	1	1	2	2	1	0	2	0	2	2	2	0	2	1	1	2	1	2	1	0	0	0	0	0	1	2	0	0	2	2	1	2	2	2	0	0	1	2	2	0	0	2	2	2	2	2	0	0	1	2	2	0	2	2	2	2	0	0	2	0	2	1	0	2	1	2	2	0	2	2	2	1	2	2	0	0	0	2	2	1	2	0	2	2	2	2	0	2	2	2	2	1	2	2	2	2	0	0	2	2
